X_C,Y_C,X_L,Y_L,X_R,Y_R,Psi_Int
62.563890812736304,21.98872154379208,64.1279880830547,20.038439582386886,60.99979354241789,23.939003505197277,-2.4656423947906516
62.29028618605774,21.770080871452862,63.84754334070919,19.814332893239197,60.733029031406296,23.72582884966654,-2.469144727737797
62.0159174865758,21.552399792611737,63.56631542374019,19.591209787427033,60.465519549411404,23.513589797796456,-2.472647060684943
61.740788079785716,21.335680977415237,63.284307781780356,19.369073001850623,60.19726837779107,23.302288952979865,-2.476149393632089
61.46490134051378,21.119927084206452,63.001523874026624,19.147925261311613,59.928278807000936,23.09192890710129,-2.4796517265792346
61.18826065287601,20.90514075949244,62.71796716919791,18.927769278479744,59.658554136554116,22.882512240505122,-2.4831540595263806
60.9108694102366,20.691324637911762,62.433641145492516,18.708607753859553,59.388097674980685,22.674041521963957,-2.4866563924735265
60.63273101516624,20.478481342202116,62.1485492905454,18.490443375757167,59.11691273978708,22.466519308647065,-2.490158725420672
60.35384887940051,20.266613483168243,61.86269510138552,18.273278820247455,58.84500265741549,22.259948146089044,-2.493661058367818
60.074226423797896,20.055723659649885,61.576082084392844,18.057116751141123,58.57237076320295,22.054330568158633,-2.497163391314964
59.7938670782979,19.845814458489812,61.28871375525535,17.841959819952052,58.29902040134046,21.849669097027558,-2.5006657242621095
59.512774281878976,19.636888454502184,61.00059363892595,17.627810665864743,58.024954924832,21.64596624313964,-2.5041680572092555
59.23095148251629,19.42894821044098,60.7117252695792,17.414671915702,57.75017769545339,21.443224505179955,-2.5076703901564015
58.948402137139496,19.221996276968525,60.42211219056799,17.202546183892736,57.47469208371101,21.241446370044315,-2.511172723103547
58.66512971159027,19.01603519262416,60.13175795438003,16.991436072439768,57.198501468800515,21.04063431280855,-2.514675056050693
58.38113768057982,18.811067483793195,59.840666122594314,16.781344170888033,56.921609238565324,20.84079079669837,-2.518177388997839
58.09642952764631,18.607095664675867,59.54884026583747,16.572273056292758,56.64401878945515,20.641918273058963,-2.5216797219449845
57.811008745112034,18.404122237256487,59.25628396373984,16.3642252931879,56.365733526484235,20.444019181325075,-2.52518205489213
57.52487883404065,18.20214969127281,58.963000804891664,16.157203433554628,56.086756863189635,20.24709594899099,-2.528684387839276
57.23804330419423,18.001180504185385,58.668994386799085,15.951210016790029,55.80709222158937,20.051150991580755,-2.532186720786422
56.95050567399019,17.801217141147347,58.37426831583995,15.74624756967603,55.52674303214044,19.85618671261865,-2.5356890537335675
